country,ICAO,IATA,city,city_en,name,name_en,latitude,longitude,timezone
CN,ZWTP,TLQ,吐鲁番,Turpan,吐鲁番交河机场,Turpan Jiaohe,43.019962,89.074547,Asia/Shanghai
CN,ZWTS,TWC,图木舒克,Tumxuk (Tumushuke),图木舒克唐王城机场,Tangwangcheng,39.880556,78.99,Asia/Shanghai
CN,ZWWW,URC,乌鲁木齐,Urumqi,乌鲁木齐地窝堡国际机场,Diwopu,43.907101,87.474243,Asia/Shanghai
CN,ZWYN,YIN,伊宁,Yining,伊宁机场,Yining,43.955833,81.330276,Asia/Shanghai
CN,ZYAS,AOG,鞍山,Anshan,鞍山腾鳌机场,Anshan Teng'ao,41.103523,122.855835,Asia/Shanghai
CN,ZYBA,DBC,白城,Baicheng,白城长安机场,Baicheng Chang'an,45.50528,123.019722,Asia/Shanghai
CN,ZYBS,NBS,抚松,Baishan,长白山机场,Baishan Changbaishan,42.088055,127.548889,Asia/Shanghai
CN,ZYCC,CGQ,长春,Changchun,长春龙嘉国际机场,Changchun Longjia,43.996208,125.685303,Asia/Shanghai
CN,ZYCH,CNI,长海,,大连长海机场,,39.268055,122.670277,Asia/Shanghai
CN,ZYCY,CHG,朝阳,Chaoyang,朝阳机场,Chaoyang,41.538101,120.434998,Asia/Shanghai
CN,ZYDD,DDG,丹东,Dandong,丹东浪头机场,Dandong Langtou,40.025551,124.286598,Asia/Shanghai
